   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,   MnO   ,   CaO   ,   TiO2  ,   NiO   ,   FeO   ,K2O,Total,Comment  ,Location,Sample,type,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #
85,51.16,41.44,0.061,0.1001,,0.1023,0.1125,0.0366,0.3382,6.13,,99.7086,mrwy265_ol_px_cumul5 ,HM,MRWY265,CUMUL,1.85,1,0,0,0,0,0,0,0.01,0.12,0,0.937015408
86,51.19,40.97,0.0714,0.078,,0.1214,0.1185,0.0177,0.3753,7.53,,100.5653,mrwy265_ol_px_cumul6 ,HM,MRWY265,CUMUL,1.85,0.99,0,0,0,0,0,0,0.01,0.15,0,0.92376912
87,50.74,41.71,0.0565,0.0209,,0.1572,0.1007,0.019,0.3237,6.34,,99.5246,mrwy265_ol_px_cumul7 ,HM,MRWY265,CUMUL,1.83,1.01,0,0,0,0,0,0,0.01,0.13,0,0.934495145
88,49.99,41.52,0.1504,0.4362,,0.14,0.1606,0.0261,0.3329,6.63,,99.5161,mrwy265_ol_px_cumul8 ,HM,MRWY265,CUMUL,1.81,1.01,0.01,0.01,0,0,0,0,0.01,0.13,0,0.930749806
89,51.32,41.46,0.0379,0.0223,,0.1459,0.1058,0.0343,0.331,6.43,,99.951,mrwy265_ol_px_cumul9 ,HM,MRWY265,CUMUL,1.85,1,0,0,0,0,0,0,0.01,0.13,0,0.934327846
94,51.07,40.85,0.0823,0.0135,,0.1588,0.0889,0.0373,0.3699,6.62,,99.3552,mrwy265_ol_px_cumul14 ,HM,MRWY265,CUMUL,1.86,1,0,0,0,0,0,0,0.01,0.13,0,0.932210305
95,50.99,40.94,0.0871,0.0119,,0.1454,0.0972,0.0383,0.3759,6.58,,99.3334,mrwy265_ol_px_cumul15 ,HM,MRWY265,CUMUL,1.85,1,0,0,0,0,0,0,0.01,0.13,0,0.932493681
96,50.01,41.44,0.0623,0.0363,,0.1635,0.106,0.0361,0.3266,6.93,,99.2037,mrwy265_ol_px_cumul16 ,HM,MRWY265,CUMUL,1.82,1.01,0,0,0,0,0,0,0.01,0.14,0,0.927869194
97,49.07,41.02,0.29,0.2309,,0.1562,0.0797,0.0825,0.3441,7.4,,98.9881,mrwy265_ol_px_cumul17 ,HM,MRWY265,CUMUL,1.8,1.01,0.01,0.01,0,0,0,0,0.01,0.15,0,0.921998406
99,50.6,40.9,0.0844,0.0267,,0.1387,0.0877,0.0343,0.4129,6.48,,98.8464,mrwy265_ol_px_cumul19 ,HM,MRWY265,CUMUL,1.85,1,0,0,0,0,0,0,0.01,0.13,0,0.932972794
