   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,MnO,   CaO   ,   TiO2  ,NiO,   FeO   ,  Total  ,Comment  ,Location,Sample,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #,Mg,Fe,Ca
57,20.58,52.83,0.0168,1.3119,0.0152,,0.3476,0.1124,,26.2,101.4138,pyroxene5_8 ,HM,MRWY14,1.14,1.97,0,0.06,0,0,0.01,0,0,0.82,0,0.583366015,57.92638298,41.37042459,0.70319243
58,20.09,52.82,0.0253,1.0841,0.0146,,0.4474,0.0533,,26.9,101.4346,pyroxene6_1 ,HM,MRWY14,1.12,1.97,0,0.05,0,0,0.02,0,0,0.84,0,0.571051437,56.58792,42.50634082,0.905739175
59,20.09,52.36,0.0609,0.9288,0.0226,,0.4599,0.0387,,27.01,100.9708,pyroxene6_2 ,HM,MRWY14,1.13,1.97,0,0.04,0,0,0.02,0,0,0.85,0,0.570051529,56.47546415,42.59534129,0.929194563
60,20.12,52.54,0.0223,1.1113,0.0121,,0.4277,0.0446,,27.14,101.418,pyroxene6_3 ,HM,MRWY14,1.12,1.97,0,0.05,0,0,0.02,0,0,0.85,0,0.569240251,56.43322451,42.70457251,0.862202977
61,20,52.52,0.071,1.0404,0.0106,,0.4825,0.2474,,27,101.3718,pyroxene6_4 ,HM,MRWY14,1.12,1.97,0.01,0.05,0,0,0.02,0.01,0,0.85,0,0.569041554,56.34818129,42.67478263,0.977036084
62,19.8,50.66,1.234,1.0159,0.0142,,0.5508,0.0542,,25.8,99.1292,pyroxene6_5 ,HM,MRWY14,1.13,1.95,0.09,0.05,0,0,0.02,0,0,0.83,0,0.577703681,57.1107161,41.74743214,1.14185176
63,20.24,52.75,0.1172,0.9172,0.0262,,0.4203,0.0567,,26.76,101.2875,pyroxene6_6 ,HM,MRWY14,1.13,1.97,0.01,0.04,0,0,0.02,0,0,0.84,0,0.574148894,56.92707384,42.22329365,0.849632509
64,20.37,53.21,0.0529,0.9447,0,,0.7137,0.0272,,26.69,102.0084,pyroxene6_7 ,HM,MRWY14,1.13,1.98,0,0.04,0,0,0.03,0,0,0.83,0,0.576353217,56.81078958,41.75860827,1.430602144
65,20.33,52.91,0.0332,1.0083,0.0169,,0.4229,0.0394,,26.88,101.6406,pyroxene6_8 ,HM,MRWY14,1.13,1.97,0,0.04,0,0,0.02,0,0,0.84,0,0.574139726,56.92533499,42.22358717,0.851077835
66,20.21,53.02,0.1424,0.836,0.0114,,0.922,0.101,,26.61,101.8527,pyroxene6_9 ,HM,MRWY14,1.12,1.97,0.01,0.04,0,0,0.04,0,0,0.83,0,0.575160292,56.45141625,41.69759905,1.850984696
67,20.39,53.23,0.1441,0.9269,0.0076,,0.6408,0.0366,,26.77,102.146,pyroxene6_10 ,HM,MRWY14,1.13,1.97,0.01,0.04,0,0,0.03,0,0,0.83,0,0.575861984,56.84677549,41.86919652,1.284027991
68,20.06,52.89,0.0694,1.064,0.0244,,0.6002,0.0516,,26.77,101.5295,pyroxene6_11 ,HM,MRWY14,1.12,1.97,0.01,0.05,0,0,0.02,0,0,0.84,0,0.571871837,56.49245125,42.29270937,1.214839377
69,20.23,52.79,0.0242,1.2217,0.0212,,0.6005,0.0688,,26.86,101.8163,pyroxene6_12 ,HM,MRWY14,1.12,1.97,0,0.05,0,0,0.02,0,0,0.84,0,0.573115759,56.61928721,42.17277406,1.207938727
70,20.43,52.83,0.0182,1.168,0.0232,,0.5944,0.3132,,26.68,102.0569,pyroxene7_1 ,HM,MRWY14,1.13,1.96,0,0.05,0,0,0.02,0.01,0,0.83,0,0.577162661,57.02799402,41.77949632,1.192509666
71,20.63,53.1,0.0142,0.9495,0.0189,,0.4419,0.058,,26.43,101.6424,pyroxene7_2 ,HM,MRWY14,1.14,1.97,0,0.04,0,0,0.02,0,0,0.82,0,0.581830662,57.66652077,41.44568585,0.887793379
72,20.39,52.82,0.0534,1.1177,0,,0.463,0.0658,,26.59,101.4998,pyroxene7_3 ,HM,MRWY14,1.13,1.97,0,0.05,0,0,0.02,0,0,0.83,0,0.577508971,57.21167145,41.85461905,0.933709504
73,20.3,52.79,0.0123,1.0795,0.0206,,0.3646,0.0607,,26.78,101.4076,pyroxene7_4 ,HM,MRWY14,1.13,1.97,0,0.05,0,0,0.01,0,0,0.84,0,0.574689872,57.04579162,42.21781883,0.736389549
74,20.59,53.03,0.0471,1.3061,0.0173,,0.3741,0.0736,,26.48,101.9181,pyroxene7_5 ,HM,MRWY14,1.14,1.97,0,0.06,0,0,0.01,0,0,0.82,0,0.580898321,57.65249832,41.59464403,0.752857657
75,20.56,52.08,0.0322,1.0741,0.0191,,0.3664,0.0516,,26.35,100.5333,pyroxene7_6 ,HM,MRWY14,1.15,1.96,0,0.05,0,0,0.01,0,0,0.83,0,0.581741261,57.74386566,41.51652637,0.739607978
76,18.24,55.21,0.1995,0.1855,0.0232,,24.78,0.8319,,2.43,101.9,mrwy54_pyroxene1 ,HM,MRWY54,0.97,1.97,0.01,0.01,0,0,0.95,0.02,0,0.07,0,0.930459686,48.75278816,3.643665861,47.60354598
77,3.54,0.0499,0.0408,0.6841,0.801,,0.0196,1.91,,89.83,96.8755,mrwy12_oxide_1 ,HM,MRWY12,0.37,0,0.01,0.06,0.04,0,0,0.1,0,5.27,0,0.065635747,6.561860791,93.41202702,0.026112184
78,3.58,0.0522,0.0137,0.4809,0.7854,,0.0175,0.6468,,91.28,96.8566,mrwy12_oxide_2 ,HM,MRWY12,0.38,0,0,0.04,0.04,0,0,0.03,0,5.42,0,0.065343414,6.532841617,93.44420638,0.022952
79,3.94,0,0.0264,0.4898,0.8303,,0.0131,3.54,,87.7,96.5396,mrwy12_oxide_3 ,HM,MRWY12,0.41,0,0,0.04,0.05,0,0,0.18,0,5.09,0,0.074145014,7.413187925,92.56909698,0.017715094
80,4.58,0.0454,0.0114,0.3716,0.8576,,0,3.39,,88.33,97.5861,mrwy12_oxide_4 ,HM,MRWY12,0.47,0,0,0.03,0.05,0,0,0.17,0,5.06,0,0.084607159,8.460715918,91.53928408,0
81,4.31,0.0273,0.0119,0.3572,0.8878,,0.0044,4.01,,87.54,97.1487,mrwy12_oxide_5 ,HM,MRWY12,0.44,0,0,0.03,0.05,0,0,0.21,0,5.02,0,0.080682374,8.0677598,91.92632061,0.005919592
82,4.92,0.0297,0.025,0.2993,0.9688,,0,7.76,,82.96,96.9629,mrwy12_oxide_6 ,HM,MRWY12,0.49,0,0,0.02,0.05,0,0,0.39,0,4.62,0,0.095608237,9.560823734,90.43917627,0
83,4.66,0.0219,0.0571,0.2734,0.8644,,0.0039,6.37,,84.03,96.2808,mrwy12_oxide_7 ,HM,MRWY12,0.47,0,0.01,0.02,0.05,0,0,0.33,0,4.77,0,0.089960932,8.995606391,90.99898267,0.005410937
84,4.66,0.0528,0.7432,0.2856,1.0702,,0.0214,2.49,,87.41,96.7333,mrwy12_oxide_8 ,HM,MRWY12,0.48,0,0.1,0.02,0.06,0,0,0.13,0,5.08,0,0.086784182,8.675933105,91.29543122,0.028635675
85,4.26,0.0474,0.0355,0.3241,0.942,,0.0032,1.1947,,90.01,96.817,mrwy12_oxide_9 ,HM,MRWY12,0.45,0,0,0.03,0.05,0,0,0.06,0,5.3,0,0.077801109,7.77978411,92.21601568,0.004200213
86,4.1,0.0443,0.0431,0.3619,0.8672,,0.0152,4.09,,87.45,96.9717,mrwy12_oxide_10 ,HM,MRWY12,0.42,0,0.01,0.03,0.05,0,0,0.21,0,5.03,0,0.077127311,7.711146399,92.2683069,0.020546699
87,4.17,0.0285,0,0.4644,0.8204,,0,1.561,,89.81,96.8543,mrwy12_oxide_11 ,HM,MRWY12,0.44,0,0,0.04,0.05,0,0,0.08,0,5.27,0,0.076439699,7.643969916,92.35603008,0
88,3.94,0.0149,0.0073,0.5027,0.8173,,0.0203,0.8054,,90.97,97.0779,mrwy12_oxide_12 ,HM,MRWY12,0.41,0,0,0.04,0.05,0,0,0.04,0,5.37,0,0.071670821,7.165180487,92.80828627,0.026533243
89,3.79,0.0456,0.016,0.7138,0.8556,,0.0202,1.95,,88.97,96.3613,mrwy12_oxide_16 ,HM,MRWY12,0.4,0,0,0.06,0.05,0,0,0.1,0,5.23,0,0.070575217,7.055614208,92.91735801,0.027027779
90,3.86,0.0483,0.0104,0.5002,0.8576,,0.0079,3.02,,88.14,96.4445,mrwy12_oxide_17 ,HM,MRWY12,0.4,0,0,0.04,0.05,0,0,0.16,0,5.14,0,0.072412184,7.240447203,92.74890233,0.010650465
91,4.83,0.0273,0.0474,0.3356,0.8795,,0.0121,3.84,,87.36,97.3319,mrwy12_oxide_18 ,HM,MRWY12,0.49,0,0.01,0.03,0.05,0,0,0.2,0,4.99,0,0.089712966,8.969847708,91.01400177,0.016150527
92,4.59,0.0167,0.1058,0.3942,0.8483,,0.0168,4.77,,86.46,97.2019,mrwy12_oxide_19 ,HM,MRWY12,0.47,0,0.01,0.03,0.05,0,0,0.24,0,4.92,0,0.086451297,8.643164068,91.33409895,0.022736977
93,4.04,0.0296,0.045,0.416,0.8142,,0,3.08,,88.12,96.5449,mrwy12_oxide_20 ,HM,MRWY12,0.42,0,0.01,0.03,0.04,0,0,0.16,0,5.13,0,0.075549709,7.554970872,92.44502913,0
94,4.85,0.0324,0.1128,0.3612,0.873,,0.0135,7,,83.24,96.4829,mrwy12_oxide_21 ,HM,MRWY12,0.49,0,0.01,0.03,0.05,0,0,0.35,0,4.68,0,0.094088745,9.407103797,90.57407656,0.018819641
95,3.59,0.0159,0.045,0.6292,0.8098,,0.0142,1.248,,90.4,96.7522,mrwy12_oxide_22 ,HM,MRWY12,0.38,0,0.01,0.05,0.05,0,0,0.07,0,5.34,0,0.066109565,6.609714263,93.37149517,0.01879057
96,3.66,0.0132,0.0609,0.6723,0.8072,,0.0218,1.83,,89.44,96.5055,mrwy12_oxide_23 ,HM,MRWY12,0.38,0,0.01,0.06,0.04,0,0,0.1,0,5.26,0,0.067985211,6.796543073,93.17436136,0.029095569
97,3.64,0.0157,0.0636,0.5701,0.8378,,0.0022,2.13,,88.93,96.1895,mrwy12_oxide_24 ,HM,MRWY12,0.38,0,0.01,0.05,0.05,0,0,0.11,0,5.24,0,0.068000357,6.79983482,93.19721137,0.002953813
98,3.62,0.0263,0.0785,0.518,0.8122,,0.0076,1.5798,,89.96,96.6025,mrwy12_oxide_25 ,HM,MRWY12,0.38,0,0.01,0.04,0.05,0,0,0.08,0,5.31,0,0.066929264,6.692250503,93.29765138,0.010098121
99,3.74,0.0445,0.0327,0.4811,0.8346,,0.0071,2.02,,89.63,96.79,mrwy12_oxide_26 ,HM,MRWY12,0.39,0,0,0.04,0.05,0,0,0.11,0,5.26,0,0.069231277,6.922473774,93.06808102,0.009445206
100,13,0.0107,0.028,0.0503,0.0482,,0.0806,53.46,,33.13,99.8079,mrwy12_oxide_line Line 001 ,HM,MRWY12,0.91,0,0,0,0,0,0,1.89,0,1.3,0,0.411578569,41.08251007,58.73442209,0.183067832
101,14.45,0.0161,0.0286,0.0562,0.0669,,0.0496,51.95,,32.83,99.4475,mrwy12_oxide_line Line 002 ,HM,MRWY12,1.01,0,0,0,0,0,0,1.84,0,1.29,0,0.439645245,43.91689112,55.9747639,0.108344981
102,11.81,0,0.0441,0.0596,0.0541,,0.0392,51.33,,35.84,99.1771,mrwy12_oxide_line Line 003 ,HM,MRWY12,0.84,0,0,0,0,0,0,1.85,0,1.44,0,0.370033856,36.97074939,62.9410528,0.08819781
103,9.59,0.0155,0.1049,0.0907,0.046,,0.0237,50.96,,38.01,98.8409,mrwy12_oxide_line Line 004 ,HM,MRWY12,0.7,0,0.01,0.01,0,0,0,1.87,0,1.55,0,0.31022192,31.0051076,68.93982097,0.055071431
