   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   MgO   ,   K2O   ,   MnO   ,   TiO2  ,   F     ,   CaO   ,   FeO   ,  Total  ,Comment  ,Sample,Location,type,   Si,   Al,   Na,   Mg,   K,   Mn   ,   Ti,F,   Ca,   Fe,OH
59,52.97,0.7226,4.13,19.34,4.59,0.0626,5.48,1.86,5.98,3.1,98.2353,mrwy263_amph3_2 ,MRWY263,EH,lava+xeno,7.6,0.12,1.15,4.14,0.84,0.01,0.59,0.84,0.92,0.37,1.16
60,52.88,0.7838,4.23,19.43,4.51,0.0558,5.6,1.64,5.95,3.29,98.3697,mrwy263_amph3_3 ,MRWY263,EH,lava+xeno,7.57,0.13,1.17,4.15,0.82,0.01,0.6,0.74,0.91,0.39,1.26
61,53.2,0.7241,4.17,19.77,4.53,0.0524,5.15,1.9,6.03,3.11,98.6366,mrwy263_amph3_4 ,MRWY263,EH,lava+xeno,7.6,0.12,1.16,4.21,0.83,0.01,0.55,0.86,0.92,0.37,1.14
62,52.44,0.7696,4.21,19.16,4.54,0.0826,6.05,1.54,5.9,3.67,98.3623,mrwy263_amph3_5 ,MRWY263,EH,lava+xeno,7.52,0.13,1.17,4.1,0.83,0.01,0.65,0.7,0.91,0.44,1.3
63,52.62,0.8331,4.15,19.6,4.52,0.0473,5.73,1.72,6.01,3.31,98.5405,mrwy263_amph3_6 ,MRWY263,EH,lava+xeno,7.53,0.14,1.15,4.18,0.83,0.01,0.62,0.78,0.92,0.4,1.22
64,52.66,1.6402,4,19.18,5.14,0.0516,4.92,1.94,5.81,3.23,98.5718,mrwy263_amph3_7 ,MRWY263,EH,lava+xeno,7.55,0.28,1.11,4.1,0.94,0.01,0.53,0.88,0.89,0.39,1.12
65,53.19,0.8373,4.09,20.14,4.5,0.0657,4.41,2.1,6.08,2.88,98.2931,mrwy263_amph3_8 ,MRWY263,EH,lava+xeno,7.63,0.14,1.14,4.31,0.82,0.01,0.48,0.95,0.93,0.35,1.05
66,52.61,0.7472,4.03,20.25,4.47,0.0525,4.43,2.09,6.14,2.81,97.6297,mrwy263_amph3_9 ,MRWY263,EH,lava+xeno,7.6,0.13,1.13,4.36,0.82,0.01,0.48,0.96,0.95,0.34,1.04
67,51.81,1.0085,4.03,19.11,4.45,0.0695,6.31,1.49,6.17,3.75,98.198,mrwy263_amph4_1 ,MRWY263,EH,lava+xeno,7.45,0.17,1.12,4.1,0.82,0.01,0.68,0.68,0.95,0.45,1.32
68,52.31,0.7762,4.17,19.17,4.57,0.0753,6.17,1.46,5.93,3.73,98.3616,mrwy263_amph4_2 ,MRWY263,EH,lava+xeno,7.5,0.13,1.16,4.1,0.84,0.01,0.67,0.66,0.91,0.45,1.34
